item,day
Kashini greens,4
Pineapple juice,13
Thiland Juice,2
Thiland Jelly,4
Orange juice,20
Chikkadikai cleaned,12
Grapesh Tash ganesh,3
Times Rose berry,3
Washington gala apple,16
Chilles small cleaned (C.B.P),14
Apple Chaina Delicious,12
Rumenia Mango,11
Mosambi polo,12
S.mellon namdhari (Red),14
S.mellon Local (Luck),13
Bore fruit,12
Butter fruit,12
Anjura/Fig,5
Peas seeds,10
Bread fruit,9
Apple Chilli,11
Indian red globe,12
Washington red apple,21
Tamarind Paste 150 gm,119
Rice Bran 5 lt,157
Sungold oil 5 lt,249
Ground nut oil 5 lt,311
Safal deep 500 ml,9
Tamarind Paste 450 gm,122
Sun safal Tin 15 lt,14
Sungold oil 5 lt packet,141
Pepper,13
Stevia powder,168
Coconut oil 500 ml,338
Jam 1 kg,148
Jam 1/2 kg,131
Jam 200 gm,149
Jam 100 gm,169
Fanda,7
Chocolates Drink box,144
Kakadi,8
Corriander Leave,2
Curry leave,4
Dhantu greens,2
Ginger ooty,33
Pomegranate,16
Pomegranate Bhagav,14
Pomegranate A.raktha,18
Pomegranate Ganesh,16
Papaya nati,6
Papaya Taiwan,8
Papaya Red lady,5
Papaya sola,8
Pineapple,23
Plum Ooty,4
Plum Australia,4
Peaches,3
Pomello/Chakotha,19
Rose apple,14
Rampal,6
Tamarind sweet 500gm,34
Watermellon,21
Watermellon kiran,24
S.mellon namdhari,21
Mosambi,11
Sweet corn,8
Sweet corn cleaned,9
Sweet corn seeds spok,11
Batani kalu,7
BaleDindu (Banana stem),10
Basale Greens,2
Letteus Greens,3
Onion flowers,22
Chain Berry,6
Y.Bananan T.N.,6
Maize,10
Byladha Hannu,10
Net rich 5 lt oil,225
Mineral water 1 lt,8
Chikkadikai Round,10
Indian kinora apple,22
South Africa Gala apple,24
Selari,6
Leeks,14
Parsley,6
Litchi Juice,4
Apple juice,23
G. nut oil Rice 1 lt,347
G. nut oil safal deep1 lt,133
G. nut Golden oil 1 lt,214
G. nut sungold 1 lt,12
Rice Bran 15 lt Tin,325
Pickles,334
Lime Pickles,309
mango Pickles,159
Pickles mixed veg,332
Avarebele (F. Beans spok),6
Avare seed (FB seeds),9
Brucoli,12
Mushroom Oyster,3
Onion medium,39
Onion Big,42
Jack fruit,13
Indian Black globe Grapes,3
Papaya red indian,11
Mango,9
Mango Badami,184
Mango Alphans,5
Onion small(Economy),21
Mango Raspuri,5
Onion samber,38
Peas local,5
Peas Delhi,12
Berry fruit Ooty,6
Berry Soft,5
Berry Delhi,5
Ber fruit/Bore fruit,7
Cherry fruit,3
Cherry kashmir,6
Cashew nut,282
Dates,282
Dry dates,152
Dates seedless,242
Dry apricot,9
Badami,353
Dry fruit mixed,350
Jambo fruit(Nerale),130
Bottle Gourd,11
Chow-Chow,13
Cucumber,8
Cucumber Nati,6
Cucumber Israle,5
Cucumber Ooty,11
Mangalore cucumber,11
Cluster Bean Local,12
Capsicum,9
Mango Sendura,7
Mango Bygan palli,8
Mango malagova,10
Mango mallika,7
Mango thotapuri,7
Mango kalapadu,5
Mango Neelam,7
Mango Dasheri,9
Mango Langada,11
Mango Kesar,10
Mango Amarpalli,7
Mango rathnagiri(red),5
Mango Alphans box,9
Mango sakkaregutti,6
Orange,16
Orange Nagpura,24
Orange Ooty,23
Orange Australia,16
Tomoto,7
Thogari kai,13
Mango Raw Amblet,11
Mango Raw,11
Capsicum 1,6
Capsicum Red/Yellow,6
Chillies Green,7
Chillies Bajji,11
Chillies Cleaned,5
Chillies small (C.B.P),8
Carrot ooty,9
Carrot Delhi,8
Carrot Nati,10
Cowpea Local,9
Cowpea Long,11
Coconut (B),11
Coconut (M),8
Coconut (S),11
Coconut (OS),7
Cabbage,10
Cabbage Red,6
Cabbage chaina,14
Cauliflower(B),13
Copra,364
Honney 1/2,10
Honney 1 Kg,8
Honney 200 gm,14
Honney 100 gm,11
Gulkan 1 kg,178
Gulkan 1/2 kg,151
Gulkan 1/4 kg,90
Cluster Beans Bunches,13
Cucumber white,7
Kashini (Ganike) Greens,3
Sweet corn seeds,5
Bale hoovu(B.flower),8
Jukani,13
Banana cooking R.Banana,7
Avarekai (Field Beans ),11
Grapes T.S.,4
Herali kai,12
Ladys finger,13
Little gourd,9
Lime Local,10
Grapes Red globe,5
Grapes Dry 250gm,4
Grapes Dry 100gm,6
Lime Bijapur,17
Mushroom Button,4
Mushroom Milky,4
Cauliflower(M),10
Cauliflower(S),12
Cauliflower per Kg,13
Cherry Tomoto,8
Drumstik,5
Double Beans seeds,5
Double Beans,14
Ground nut Local,8
Ground nut Hybrid,11
Ginger,16
Ginger New,17
Garlic,31
Garlic cleaned,19
Chikadi kai,5
knol-khol,12
Arive greens,2
Eggs,4
Chakota greens,2
Onion pack,16
Potato pack,16
Chilakarive green,10
Chillies Bajji yagani,11
Baby corn,9
Baby corn cleaned,5
Berry Southafrica,3
Berry Golden,5
Berry ball,4
Berry Green,4
Apple Premium,14
Malenian apple,21
Nagapur Orange Economy,19
South Af.red berry,6
Jumbu juice,3
Brahmi amla juice,4
Pomegranate Juice,13
N.Juice 200 ml,4
Amla,12
Beans,5
Beans Nati,10
Beans Ring,12
Beans Fruit,9
Beans cleaned,8
Brinjal long,6
Brinjal (W),10
Brinjal (R),10
Brinjal Bottle,7
Brinjal Mlore,11
Beet Root,5
Yam/S.Root,23
Bitter Gourd,10
Mint Leaves,2
Menthya Greens,4
Palak Greens,4
Apple Delicious,13
Apple Simla,12
Apple Economy,19
Apple Washington,12
Apple Australia,24
Apple Newzeland,12
Apple Fuji chaina,13
Apple hazarath palli,16
Apple Green smith,13
Apple Golden delicious,18
Banana pachabale,5
Banana Yellaki,11
Banana chandra,6
Banana Nendra,5
Banana karpura,7
Banana Rasabale,8
Chicco(Sapota) rapined,5
Custerd Apple,18
Chicco(Sapota),6
Guava,11
Guava Allahabad(Red),11
Grapes Blore blue,4
Orange malt,19
Orange South Africa,12
Peas Dharwad,11
Peas Ooty,14
Pumpkin Ash,13
Pumpkin Red,8
Pumpkin Japan,5
Potato(M),16
Potato(B),15
Potato(S),30
Potato Baby,44
Sweet Potato(Genasu),26
Raddish,19
Raddish Red,19
Sponge Gourd,11
Snake Gourd,13
Snake Gourd(S),13
Sham gadde,7
Spring Onion,33
Spring Onion(Cleaned),30
Parvala,7
Greens Sabbakki,3
Molake kalu,12
Hesaru kalu,5
GrapesAnabi shahi,6
Grapes Dilkush,6
Grapes Sharad,5
Grapes Rose,3
Grapes Sonika,6
Grapes Flame,6
Grapes Krishna sharad,4
Grapes Crimson,6
Komark fruit,8
Kiwi fruit,4
Litchi Local,5
Litchi Taiwan/chaina,6
Straw Berry,4
Tender Coconut,13
Tender Coconut(M),7
Tamrind Chatisghar,13
Tamarind seedless,43
Thinda,6
Dates Arebian,247
Pista,229
Tender Coconut(S),6
Tender Coco packed,6
Fruit Juice Tailand,3
G.oil Net rich 500 ml,282
Ground nut oil 1 lt,327
G.nut oil Premium1 lt,308
G.nut oil Rice Bron 1 lt,288
Chocolates Drink box,122
Fanda,8
Jam 100 gm,122
Jam 200 gm,103
Jam 1/2 kg,110
Jam 1 kg,137
Coconut oil 500 ml,267
Stevia powder,247
Pepper,12
Sungold oil 5 lt packet,254
Sun safal Tin 15 lt,7
Tamarind Paste 450 gm,106
Safal deep 500 ml,5
Ground nut oil 5 lt,295
Sungold oil 5 lt,323
Rice Bran 5 lt,306
Tamarind Paste 150 gm,175
Washington red apple,16
Indian red globe,10
Apple Chilli,23
Bread fruit,10
Peas seeds,10
Anjura/Fig,3
Butter fruit,7
Bore fruit,10
S.mellon Local (Luck),17
S.mellon namdhari (Red),20
Mosambi polo,6
Rumenia Mango,9
Apple Chaina Delicious,23
Chilles small cleaned (C.B.P),5
Washington gala apple,21
Times Rose berry,5
Grapesh Tash ganesh,6
Chikkadikai cleaned,5
Orange juice,14
Thiland Jelly,2
Thiland Juice,4
Pineapple juice,13
Kashini greens,4
Mosambi,5
S.mellon namdhari,10
Watermellon kiran,21
Watermellon,21
Tamarind sweet 500gm,44
Rampal,9
Rose apple,15
Pomello/Chakotha,12
Peaches,6
Plum Australia,3
Plum Ooty,3
Pineapple,17
Papaya sola,9
Papaya Red lady,5
Papaya Taiwan,10
Papaya nati,9
Pomegranate Ganesh,24
Pomegranate A.raktha,12
Pomegranate Bhagav,21
Pomegranate,10
Ginger ooty,34
Dhantu greens,4
Curry leave,2
Corriander Leave,2
Kakadi,11
Pickles mixed veg,280
mango Pickles,186
Lime Pickles,247
Pickles,137
Rice Bran 15 lt Tin,144
